From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names
P19571,P19571,reviewed,AMT6_BACS7,"Glucan 1,4-alpha-maltohexaosidase (EC 3.2.1.98) (Exo-maltohexaohydrolase) (G6-amylase) (Maltohexaose-producing amylase)",,Bacillus sp. (strain 707),518,
Q06530,Q06530,reviewed,DHSU_ALLVD,Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain (EC 1.8.2.3) (FCSD) (Flavocytochrome c flavoprotein subunit) (FC),fccB Alvin_1092,Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum),431,fccB
P32156,P32156,reviewed,RHAM_ECOLI,L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase),rhaM yiiL b3901 JW3872,Escherichia coli (strain K12),104,rhaM
Q69ZS7,Q69ZS7,reviewed,HBS1L_MOUSE,HBS1-like protein (EC 3.6.5.-),Hbs1l Hbs1 Kiaa1038,Mus musculus (Mouse),682,Hbs1l
Q03202,Q03202,reviewed,NISC_LACLL,Nisin biosynthesis protein NisC,nisC,Lactococcus lactis subsp. lactis (Streptococcus lactis),418,nisC
P38677,P38677,reviewed,CMLE_NEUCR,"Carboxy-cis,cis-muconate cyclase (EC 5.5.1.5) (3-carboxy-cis,cis-muconate lactonizing enzyme) (CMLE)",NCU04071,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),366,NCU04071
P20703,P0DXF2,reviewed,UVSW1_BPT4,Protein UvsW.1,uvsW1,Enterobacteria phage T4 (Bacteriophage T4),76,uvsW1
P20703,P0DXF1,reviewed,UVSW_BPT4,ATP-dependent DNA helicase uvsW (EC 5.6.2.4) (DNA 3'-5' helicase UvsW) (Dar protein),uvsW dar,Enterobacteria phage T4 (Bacteriophage T4),502,uvsW
O25836,O25836,reviewed,AMIF_HELPY,Formamidase (EC 3.5.1.49) (Formamide amidohydrolase),amiF HP_1238,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),334,amiF
O29535,O29535,reviewed,CBID_ARCFU,Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase),cbiD AF_0723,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),298,cbiD
P32390,P32390,reviewed,ARP3_SCHPO,Actin-related protein 3 (Actin-like protein 3),act2 SPAC630.03,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),427,act2
IL17F_HUMAN,Q96PD4,reviewed,IL17F_HUMAN,Interleukin-17F (IL-17F) (Cytokine ML-1),IL17F,Homo sapiens (Human),163,IL17F
P0A595,P9WN22,reviewed,TRHBO_MYCTO,Group 2 truncated hemoglobin GlbO (Hemoglobin-like protein HbO) (Truncated hemoglobin) (trHbO),glbO MT2546,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),128,glbO
P0A595,P9WN23,reviewed,TRHBO_MYCTU,Group 2 truncated hemoglobin GlbO (Hemoglobin-like protein HbO) (Truncated hemoglobin) (trHbO),glbO Rv2470 MTV008.26,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),128,glbO
P26221,P26221,reviewed,GUN4_THEFU,"Endoglucanase E-4 (EC 3.2.1.4) (Cellulase E-4) (Cellulase E4) (Endo-1,4-beta-glucanase E-4)",celD,Thermobifida fusca (Thermomonospora fusca),880,celD
CHLE_HUMAN,P06276,reviewed,CHLE_HUMAN,Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase),BCHE CHE1,Homo sapiens (Human),602,BCHE
ALK_HUMAN,Q9UM73,reviewed,ALK_HUMAN,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),ALK,Homo sapiens (Human),1620,ALK
P00175,P00175,reviewed,CYB2_YEAST,L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR),CYB2 YML054C YM9958.08C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),591,CYB2
P06875,P06875,reviewed,PAC_ECOLX,Penicillin G acylase (EC 3.5.1.11) (Penicillin G amidase) (Penicillin G amidohydrolase) [Cleaved into: Penicillin G acylase subunit alpha; Penicillin G acylase subunit beta],pac,Escherichia coli,846,pac
P23202,P23202,reviewed,URE2_YEAST,Transcriptional regulator URE2 (Disulfide reductase) (EC 1.8.4.-) (Glutathione peroxidase) (EC 1.11.1.9),URE2 YNL229C N1165,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),354,URE2
P35219,P35219,reviewed,CAH8_HUMAN,Carbonic anhydrase-related protein (CARP) (Carbonic anhydrase VIII) (CA-VIII),CA8 CALS,Homo sapiens (Human),290,CA8
P01837,P01837,reviewed,IGKC_MOUSE,Immunoglobulin kappa constant (Ig kappa chain C region MOPC 21),Igkc,Mus musculus (Mouse),107,Igkc
Q8ZWY4,Q8ZWY4,reviewed,NDK_PYRAE,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),ndk PAE1561,Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2),183,ndk
CEL_HUMAN,P19835,reviewed,CEL_HUMAN,Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.1.1.6) (Bile salt-stimulated lipase) (BSSL) (Bucelipase) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase),CEL BAL,Homo sapiens (Human),753,CEL
P36057,P36057,reviewed,SRPB_YEAST,Signal recognition particle receptor subunit beta (SR-beta),SRP102 YKL154W YKL609,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),244,SRP102
Q9Z9H6,Q9Z9H6,reviewed,RPOA_THETH,DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha),rpoA,Thermus thermophilus,315,rpoA
Q16836,Q16836,reviewed,HCDH_HUMAN,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)",HADH HAD HAD1 HADHSC SCHAD,Homo sapiens (Human),314,HADH
Q00955,Q00955,reviewed,ACAC_YEAST,Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)],ACC1 ABP2 FAS3 MTR7 YNR016C N3175,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2233,ACC1
P18546,P18546,reviewed,CAPSD_PAVPN,Capsid protein VP1 (Coat protein VP1),,Porcine parvovirus (strain NADL-2) (PPV),729,
Q9DCX8,Q9DCX8,reviewed,IYD1_MOUSE,Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1),Iyd Dehal1,Mus musculus (Mouse),285,Iyd
O25926,O25926,reviewed,CLPX_HELPY,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX HP_1374,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),446,clpX
P39315,P39315,reviewed,QOR2_ECOLI,Quinone oxidoreductase 2 (EC 1.6.5.2),qorB qor2 ytfG b4211 JW4169,Escherichia coli (strain K12),286,qorB
Q11062,P9WPN4,reviewed,CP130_MYCTO,Cytochrome P450 130 (EC 1.14.-.-),cyp130 MT1295,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),405,cyp130
Q11062,P9WPN5,reviewed,CP130_MYCTU,Cytochrome P450 130 (EC 1.14.-.-),cyp130 Rv1256c MTCY50.26,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),405,cyp130
P24228,P24228,reviewed,DACB_ECOLI,D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (D-alanyl-D-alanine endopeptidase) (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 4) (PBP-4),dacB b3182 JW3149,Escherichia coli (strain K12),477,dacB
P12081,P12081,reviewed,HARS1_HUMAN,"Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)",HARS1 HARS HRS,Homo sapiens (Human),509,HARS1
P08559,P08559,reviewed,ODPA_HUMAN,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)",PDHA1 PHE1A,Homo sapiens (Human),390,PDHA1
P15034,P15034,reviewed,AMPP_ECOLI,Xaa-Pro aminopeptidase (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Aminopeptidase P II) (APP-II) (X-Pro aminopeptidase),pepP b2908 JW2876,Escherichia coli (strain K12),441,pepP
IF2A_HUMAN,P05198,reviewed,IF2A_HUMAN,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha),EIF2S1 EIF2A,Homo sapiens (Human),315,EIF2S1
P07164,P07164,reviewed,AEQ1_AEQVI,Aequorin-1,,Aequorea victoria (Water jellyfish) (Mesonema victoria),196,
P21340,P21340,reviewed,PAIA_BACSU,Spermidine/spermine N(1)-acetyltransferase (SSAT) (Protease synthase and sporulation negative regulatory protein PAI 1) (Spermidine N(1)-acetyltransferase) (SAT) (EC 2.3.1.57),paiA BSU32150,Bacillus subtilis (strain 168),172,paiA
1433S_HUMAN,P31947,reviewed,1433S_HUMAN,14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin),SFN HME1,Homo sapiens (Human),248,SFN
P24186,P24186,reviewed,FOLD_ECOLI,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)],folD ads b0529 JW0518,Escherichia coli (strain K12),288,folD
P15919,P15919,reviewed,RAG1_MOUSE,V(D)J recombination-activating protein 1 (RAG-1) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)],Rag1,Mus musculus (Mouse),1040,Rag1
O13998,O13998,reviewed,OLA1_SCHPO,Obg-like ATPase 1,SPAC27E2.03c,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),392,SPAC27E2.03c
P07268,P07268,reviewed,PRZN_SERME,Serralysin (EC 3.4.24.40) (Extracellular metalloproteinase) (Serratiopeptidase) (Serrapeptase) (Serrapeptidase) (Zinc proteinase),,Serratia marcescens (strain ATCC 21074 / E-15),487,
O50426,P9WJN2,reviewed,MSHB_MYCTO,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (GlcNAc-Ins deacetylase) (EC 3.5.1.103) (N-acetyl-1-D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase),mshB MT1207,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),303,mshB
O50426,P9WJN3,reviewed,MSHB_MYCTU,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (GlcNAc-Ins deacetylase) (EC 3.5.1.103) (N-acetyl-1-D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase),mshB Rv1170,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),303,mshB
S10A6_HUMAN,P06703,reviewed,S10A6_HUMAN,Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6),S100A6 CACY,Homo sapiens (Human),90,S100A6
GGPPS_HUMAN,O95749,reviewed,GGPPS_HUMAN,"Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)",GGPS1,Homo sapiens (Human),300,GGPS1
P09163,P09163,reviewed,YJAB_ECOLI,Peptidyl-lysine N-acetyltransferase YjaB (EC 2.3.1.-) (KAT),yjaB b4012 JW3972,Escherichia coli (strain K12),147,yjaB
Q8YNP7,Q8YNP7,unreviewed,Q8YNP7_NOSS1,NblA protein,nblA,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),65,nblA
O58888,O58888,reviewed,GCST_PYRHO,Probable aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein),gcvT PH1146,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),398,gcvT
Q9X1A7,Q9X1A7,reviewed,COAE_THEMA,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase),coaE TM_1387,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),180,coaE
P54965,P54965,reviewed,CBH_CLOPE,Bile salt hydrolase/transferase (BSH/T) (Bile acid amine N-acyltransferase) (EC 2.3.1.-) (Bile salt hydrolase) (BSH) (CBAH-1) (Choloylglycine hydrolase) (EC 3.5.1.24) (Conjugated bile acid hydrolase) (CBAH) (EC 3.5.1.-),cbh CPE0709,Clostridium perfringens (strain 13 / Type A),329,cbh
Q9KAG8,Q9KAG8,reviewed,IOLC_HALH5,5-dehydro-2-deoxygluconokinase (EC 2.7.1.92) (2-deoxy-5-keto-D-gluconate kinase) (DKG kinase),iolC BH2319,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans),331,iolC
Q12517,Q12517,reviewed,DCP1_YEAST,mRNA-decapping enzyme subunit 1,DCP1 YOL149W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),231,DCP1
Q15GI4,Q15GI4,reviewed,EGS1_OCIBA,Eugenol synthase 1 (ObEGS1) (EC 1.1.1.318),EGS1,Ocimum basilicum (Sweet basil),314,EGS1
P20826,P20826,reviewed,SCF_MOUSE,Kit ligand (Hematopoietic growth factor KL) (Mast cell growth factor) (MGF) (Steel factor) (Stem cell factor) (SCF) (c-Kit ligand) [Cleaved into: Soluble KIT ligand (sKITLG)],Kitlg Kitl Mgf Sl Slf,Mus musculus (Mouse),273,Kitlg
P17952,P17952,reviewed,MURC_ECOLI,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase),murC b0091 JW0089,Escherichia coli (strain K12),491,murC
O22443,O22443,unreviewed,O22443_SOYBN,Peroxidase (EC 1.11.1.7),Ep 548068 GLYMA_09G022300,Glycine max (Soybean) (Glycine hispida),352,Ep
O29777,O29777,reviewed,COPA_ARCFU,Probable copper-exporting P-type ATPase (EC 7.2.2.8) (Copper-exporting P-type ATPase A) (Cu(+)-exporting ATPase),copA pacS AF_0473,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),804,copA
P38561,P38561,reviewed,GLNA3_MAIZE,Glutamine synthetase root isozyme 3 (EC 6.3.1.2) (GS112) (Glutamate--ammonia ligase),GLN4 GS1-3,Zea mays (Maize),356,GLN4
Q9GQG7,Q9GQG7,unreviewed,Q9GQG7_9DIPT,glutathione transferase (EC 2.5.1.18) (GST class-theta),,Anopheles cracens,218,
P25974,P25974,reviewed,GLCB1_SOYBN,Beta-conglycinin beta subunit 1 (CG-beta-1) (Beta-conglycinin beta subunit) (allergen Gly m 5),CG-4 GLYMA_20G146200,Glycine max (Soybean) (Glycine hispida),439,CG-4
Q93034,Q93034,reviewed,CUL5_HUMAN,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),CUL5 VACM1,Homo sapiens (Human),780,CUL5
Q9RGX9,G0L322,reviewed,AGAA_ZOBGA,Beta-agarase A (EC 3.2.1.81) [Cleaved into: Beta-agarase A catalytic chain (AgaAc)],agaA zobellia_4203,Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij),539,agaA
P14925,P14925,reviewed,AMD_RAT,Peptidylglycine alpha-amidating monooxygenase (PAM) [Includes: Peptidylglycine alpha-hydroxylating monooxygenase (PHM) (EC 1.14.17.3); Peptidyl-alpha-hydroxyglycine alpha-amidating lyase (EC 4.3.2.5) (Peptidylamidoglycolate lyase) (PAL)],Pam,Rattus norvegicus (Rat),976,Pam
O88093,O88093,reviewed,HBP_ECOLX,Hemoglobin-binding protease hbp autotransporter (EC 3.4.21.-) [Cleaved into: Hemoglobin-binding protease hbp; Hemoglobin-binding protease hbp translocator (Helper peptide)],hbp,Escherichia coli,1377,hbp
P02001,P02001,reviewed,HBAD_CHICK,Hemoglobin subunit alpha-D (Alpha-D-globin) (Hemoglobin alpha-D chain),HBAD,Gallus gallus (Chicken),141,HBAD
Q81EW9,Q81EW9,unreviewed,Q81EW9_BACCR,Nitroreductase family protein,BC_1844,Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711),200,BC_1844
Q07982,Q07982,reviewed,GFO_ZYMMO,Glucose--fructose oxidoreductase (GFOR) (EC 1.1.99.28),gfo ZMO0689,Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4),433,gfo
P37496,P37496,reviewed,YYBH_BACSU,Uncharacterized protein YybH,yybH BSU40640,Bacillus subtilis (strain 168),129,yybH
Q9H477,Q9H477,reviewed,RBSK_HUMAN,Ribokinase (RK) (EC 2.7.1.15),RBKS RBSK,Homo sapiens (Human),322,RBKS
Q9CCZ4,Q9CCZ4,reviewed,Y2640_MYCLE,Putative S-adenosyl-L-methionine-dependent methyltransferase ML2640 (EC 2.1.1.-),ML2640,Mycobacterium leprae (strain TN),310,ML2640
P38074,P38074,reviewed,HMT1_YEAST,Protein arginine N-methyltransferase 1 (EC 2.1.1.-) (Major type I protein arginine N-methyltransferase) (Type I PRMT) (hnRNP arginine N-methyltransferase),HMT1 ODP1 RMT1 YBR034C YBR0320,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),348,HMT1
P16544,P16544,reviewed,ACT3_STRCO,Putative ketoacyl reductase (EC 1.3.1.-),actIII SCO5086 SCBAC28G1.12c,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),261,actIII
P04995,P04995,reviewed,EX1_ECOLI,Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase),sbcB cpeA xonA b2011 JW1993,Escherichia coli (strain K12),475,sbcB
P10587,P10587,reviewed,MYH11_CHICK,"Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, gizzard smooth muscle)",MYH11,Gallus gallus (Chicken),1979,MYH11
Q9H227,Q9H227,reviewed,GBA3_HUMAN,Cytosolic beta-glucosidase (EC 3.2.1.21) (Cytosolic beta-glucosidase-like protein 1) (Cytosolic galactosylceramidase) (EC 3.2.1.46) (Cytosolic glucosylceramidase) (EC 3.2.1.45) (Cytosolic glycosylceramidase) (Cytosolic GCase) (Glucosidase beta acid 3) (Glucosylceramidase beta 3) (Klotho-related protein) (KLrP),GBA3 CBG CBGL1,Homo sapiens (Human),469,GBA3
P56272,P56272,reviewed,PEP2B_GADMO,Pepsin-2B (EC 3.4.23.-) (Pepsin IIB),,Gadus morhua (Atlantic cod),324,
P00327,P00327,reviewed,ADH1E_HORSE,Alcohol dehydrogenase E chain (EC 1.1.1.1),,Equus caballus (Horse),375,
Q57887,Q57887,reviewed,IF1A_METJA,Translation initiation factor 1A (aIF-1A),eIF1A MJ0445,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),102,eIF1A
O67463,O67463,reviewed,TRMD_AQUAE,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase),trmD aq_1489,Aquifex aeolicus (strain VF5),257,trmD
O67610,O67610,reviewed,FABG_AQUAE,3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase),fabG aq_1716,Aquifex aeolicus (strain VF5),248,fabG
P35729,P35729,reviewed,NU120_YEAST,Nucleoporin NUP120 (Nuclear pore protein NUP120),NUP120 RAT2 YKL057C YKL313 YKL314,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1037,NUP120
Q4QNE7,Q4QNE7,reviewed,RNFH_HAEI8,Protein RnfH,rnfH NTHI0516,Haemophilus influenzae (strain 86-028NP),102,rnfH
Q8TF76,Q8TF76,reviewed,HASP_HUMAN,Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase),HASPIN GSG2,Homo sapiens (Human),798,HASPIN
P13418,P13418,reviewed,POLS_CRPVC,Structural polyprotein [Cleaved into: Capsid protein 1 (CP1); Capsid protein 4 (CP4); Capsid protein 2 (CP2); Capsid protein 3 (CP3)],,Cricket paralysis virus (isolate Teleogryllus commodus/Australia/CrPVVIC/1968) (CrPV),895,
Q58292,Q58292,reviewed,Y882_METJA,Probable S-adenosylmethionine-dependent methyltransferase MJ0882 (EC 2.1.1.-),MJ0882,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),197,MJ0882
CPSF3_HUMAN,Q9UKF6,reviewed,CPSF3_HUMAN,Cleavage and polyadenylation specificity factor subunit 3 (EC 3.1.27.-) (Cleavage and polyadenylation specificity factor 73 kDa subunit) (CPSF 73 kDa subunit) (mRNA 3'-end-processing endonuclease CPSF-73),CPSF3 CPSF73,Homo sapiens (Human),684,CPSF3
P43577,P43577,reviewed,GNA1_YEAST,Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase),GNA1 PAT1 YFL017C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),159,GNA1
O05821,P9WIP4,reviewed,MBTH_MYCTO,Protein MbtH,mbtH MT2445.1,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),71,mbtH
O05821,P9WIP5,reviewed,MBTH_MYCTU,Protein MbtH,mbtH Rv2377c MTCY27.03,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),71,mbtH
P53812,P53812,reviewed,PIPNB_RAT,Phosphatidylinositol transfer protein beta isoform (PI-TP-beta) (PtdIns transfer protein beta) (PtdInsTP beta),Pitpnb,Rattus norvegicus (Rat),271,Pitpnb
CATD_HUMAN,P07339,reviewed,CATD_HUMAN,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],CTSD CPSD,Homo sapiens (Human),412,CTSD
SYN3_HUMAN,O14994,reviewed,SYN3_HUMAN,Synapsin-3 (Synapsin III),SYN3,Homo sapiens (Human),580,SYN3
Q9Y4F3,Q9Y4F3,reviewed,MARF1_HUMAN,Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1),MARF1 KIAA0430 LKAP,Homo sapiens (Human),1742,MARF1
P21338,P21338,reviewed,RNI_ECOLI,Ribonuclease I (RNase I) (EC 4.6.1.21) (Enterobacter ribonuclease),rna rnsA b0611 JW0603,Escherichia coli (strain K12),268,rna
P37062,P37062,reviewed,NAPE_ENTFA,NADH peroxidase (NPXase) (Npx) (EC 1.11.1.1),npr EF_1211,Enterococcus faecalis (strain ATCC 700802 / V583),447,npr
P32816,P32816,reviewed,GLDA_GEOSE,Glycerol dehydrogenase (GDH) (GLDH) (GlyDH) (EC 1.1.1.6),gldA gld,Geobacillus stearothermophilus (Bacillus stearothermophilus),370,gldA
Q08788,Q08788,reviewed,SRFAD_BACSU,Surfactin synthase thioesterase subunit (EC 3.1.2.-) (Cold shock protein CSI16),srfAD srfA4 BSU03520,Bacillus subtilis (strain 168),242,srfAD
P77743,P77743,reviewed,PRPR_ECOLI,Propionate catabolism operon regulatory protein,prpR yahP b0330 JW0322,Escherichia coli (strain K12),528,prpR
P96113,P96113,reviewed,DEF_THEMA,Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase),def TM_1661,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),164,def
Q15436,Q15436,reviewed,SC23A_HUMAN,Protein transport protein Sec23A (hSec23A) (SEC23-related protein A),SEC23A,Homo sapiens (Human),765,SEC23A
MK06_HUMAN,Q16659,reviewed,MK06_HUMAN,Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK),MAPK6 ERK3 PRKM6,Homo sapiens (Human),721,MAPK6
O07513,O07513,reviewed,HIT_BACSU,Protein hit,hit yhaE BSU10030,Bacillus subtilis (strain 168),145,hit
Q9RUB5,Q9RUB5,reviewed,DXS_DEIRA,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),dxs DR_1475,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1),629,dxs
Q26609,Q26609,reviewed,HXK_SCHMA,Hexokinase (EC 2.7.1.1),,Schistosoma mansoni (Blood fluke),451,
Q5SKS4,Q5SKS4,reviewed,TDH_THET8,L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103),tdh TTHA0569,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),343,tdh
Q04081,Q04081,reviewed,LCMT1_YEAST,Leucine carboxyl methyltransferase 1 (EC 2.1.1.233) (Protein phosphatase methyltransferase 1) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1),PPM1 YDR435C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),328,PPM1
Q9C168,Q9C168,reviewed,CAT1_NEUCR,Catalase-1 (EC 1.11.1.6),cat-1 NCU08791,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),736,cat-1
Q02046,Q02046,reviewed,MTD1_YEAST,Methylenetetrahydrofolate dehydrogenase [NAD(+)] (EC 1.5.1.15),MTD1 YKR080W YKR400,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),320,MTD1
Q844J9,Q844J9,unreviewed,Q844J9_BACTU,Vip2Ac,vip2Ac vip2Ac2,Bacillus thuringiensis,462,vip2Ac
